STORE NAME#@LICENSE ID#@ACCOUNT NUMBER#@SQUARE FEET#@BUFFER SIZE#@ADDRESS#@ZIP CODE#@COMMUNITY AREA NAME#@COMMUNITY AREA#@WARD#@CENSUS TRACT#@CENSUS BLOCK#@X COORDINATE#@Y COORDINATE#@LATITUDE#@LONGITUDE#@LOCATION
BIG APPLE FINER FOODS INC#@4900#@3297#@9000#@B#@2345 N CLARK ST#@60614#@LINCOLN PARK#@7#@43#@17031071400#@170310714003003#@1172948.70566719#@1916010.4922481#@41.9249661791#@-87.639926019#@(41.9249661791, -87.6399260190)"
BOB'S LIQUORS & GROCERIES#@957#@86492#@10001#@A#@5069 W MADISON ST#@60644#@AUSTIN#@25#@28#@17031252201#@170312522011000#@1142425.32654312#@1899505.11389853#@41.8802960895#@-87.7524941982#@(41.8802960895, -87.7524941982)"
BOCKWINKELS#@1491357#@276156#@7200#@B#@222 N COLUMBUS DR#@60601#@LOOP#@32#@42#@17031320100#@170313201002032#@1178260.62327393#@1901977.45298883#@41.886339416#@-87.62083615#@(41.8863394160, -87.6208361500)"
BOULEVARD FOOD & LIQUOR LLC#@1931999#@336958#@3350#@B#@5922 W IRVING PARK RD#@60634#@PORTAGE PARK#@15#@38#@17031150402#@170311504022018#@1136053.01432362#@1926023.84965082#@41.9531825896#@-87.7752593753#@(41.9531825896, -87.7752593753)"
BROADWAY SUPERMARKET#@50737#@17352#@15000#@A#@4879 N BROADWAY#@60640#@UPTOWN#@3#@48#@17031031200#@170310312002005#@1167467.56930816#@1932805.10438539#@41.9711711808#@-87.659580975#@(41.9711711808, -87.6595809750)"
BUDGET FINER FOODS#@1337515#@260726#@3200#@B#@6604 N SHERIDAN RD#@60626#@ROGERS PARK#@1#@49#@17031010502#@170310105021006#@1167008.16719713#@1944300.99842149#@42.0027261067#@-87.6609383664#@(42.0027261067, -87.6609383664)"
BURNHAM PLAZA MART#@2014232#@350131#@2950#@B#@828 S WABASH AVE#@60605#@LOOP#@32#@2#@17031320600#@170313206002012#@1176878.78743436#@1896537.8458802#@41.8714441963#@-87.6260751303#@(41.8714441963, -87.6260751303)"
BUSY BEE SUPERMARKET#@1974525#@343785#@2500#@B#@5659 S ASHLAND AVE#@60636#@WEST ENGLEWOOD#@67#@16#@17031670200#@170316702001016#@1166685.29217773#@1866951.27675413#@41.7904800194#@-87.6643450657#@(41.7904800194, -87.6643450657)"
BUY -N- SAVE#@62460#@19735#@8000#@B#@209 E 103RD ST#@60628#@ROSELAND#@49#@9#@17031490902#@170314909022003#@1179510.29771218#@1836682.41426196#@41.7071353216#@-87.6182417299#@(41.7071353216, -87.6182417299)"
CAESAR'S FOODS INC#@13670#@6312#@10001#@A#@901 N DAMEN AVE#@60622#@WEST TOWN#@24#@32#@17031242200#@170312422002006#@1162946.62697565#@1906024.24404199#@41.8977792769#@-87.6769588663#@(41.8977792769, -87.6769588663)"
CALABRIA IMPORTS, INC.#@1357606#@264103#@3100#@B#@1905 W 103RD ST#@60643#@BEVERLY#@72#@19#@17031720700#@170317207001004#@1165555.28249217#@1836329.4332021#@41.7064733245#@-87.6693549885#@(41.7064733245, -87.6693549885)"
